ID_Transacao;Data_Transacao;Descricao;Valor;ID_Categoria;Forma_Pagamento;Detalhe_Pagamento;Nome_Categoria;Nome_Subcategoria;Tipo
296;06/07/2024;Cinema com Amigos;160;8;Cartão de crédito;Nubank;Lazer;Cinema;Despesa
297;08/07/2024;Conta de água;76;1;Débito automático;;Moradia;Contas;Despesa
298;10/07/2024;Venda de roupas usadas;1440;10;Dinheiro;;Renda Extra;Freelance;Renda
299;10/07/2024;Salário mensal;6000;5;Transferência;;Salário;Salário Mensal;Renda
300;12/07/2024;Gasto com gasolina;200;6;Cartão de crédito;Bradesco;Transporte;Combustível;Despesa
301;15/07/2024;Ração para cachorro;200;11;Cartão de crédito;Nubank;Pets;Ração;Despesa
302;15/07/2024;Internet residencial;1300;12;Cartão de crédito;Banco do Brasil;Internet;Plano de celular;Despesa
303;15/07/2024;Ingresso festival de música;800;8;Pix;;Lazer;Eventos;Despesa
304;18/07/2024;Curso online - Finanças Pessoais;600;9;Cartão de crédito;Bradesco;Educação;Cursos Online;Despesa
305;18/07/2024;Corte de cabelo;60;13;Dinheiro;;Beleza;Cabeleireiro;Despesa
306;20/07/2024;Doação para ONG;670;14;Pix;;Doações;ONG;Despesa
307;20/07/2024;Curso de Inglês;350;9;Débito automático;;Educação;Cursos Online;Despesa
308;22/07/2024;Bar com amigos;150;8;Pix;;Lazer;Eventos;Despesa
309;29/07/2024;Compra de jogo PS5;250;8;Cartão de crédito;Banco do Brasil;Lazer;Jogos;Despesa
310;31/07/2024;Assinatura de Streaming (Combo);85;8;Débito automático;;Lazer;Streaming;Despesa
311;01/08/2024;Aluguel apartamento;1800;1;Pix;;Moradia;Aluguel;Despesa
312;03/08/2024;Supermercado mensal;340;3;Cartão de crédito;Bradesco;Alimentação;Supermercado;Despesa
313;05/08/2024;Farmácia;1250;7;Cartão de crédito;Itaú;Saúde;Plano de saúde;Despesa
314;05/08/2024;Conta de luz;177;1;Débito automático;;Moradia;Contas;Despesa
315;08/08/2024;Conta de água;58;1;Débito automático;;Moradia;Contas;Despesa
316;10/08/2024;Salário mensal;6000;5;Transferência;;Salário;Salário Mensal;Renda
317;10/08/2024;Venda de móveis usados;4200;10;Dinheiro;;Renda Extra;Freelance;Renda
318;12/08/2024;Consulta veterinária;2600;11;Pix;;Pets;Ração;Despesa
319;12/08/2024;Gasto com gasolina;245;6;Cartão de crédito;Bradesco;Transporte;Combustível;Despesa
320;15/08/2024;Plano de celular;850;12;Débito automático;;Internet;Plano de celular;Despesa
321;15/08/2024;Ração para cachorro;200;11;Cartão de crédito;Nubank;Pets;Ração;Despesa
322;15/08/2024;Plano de saúde;250;7;Débito automático;;Saúde;Plano de saúde;Despesa
323;20/08/2024;Curso de Inglês;350;9;Débito automático;;Educação;Cursos Online;Despesa
324;20/08/2024;Ajuda para mãe;1450;14;Transferência;;Doações;Ajuda para mãe;Despesa
325;25/08/2024;Dividendos recebidos;105;15;Transferência;;Investimentos;Ações;Renda
326;31/08/2024;Assinatura de Streaming (Combo);85;8;Débito automático;;Lazer;Streaming;Despesa
327;01/09/2024;Aluguel apartamento;1800;1;Pix;;Moradia;Aluguel;Despesa
328;03/09/2024;Supermercado mensal;397;3;Cartão de crédito;Nubank;Alimentação;Supermercado;Despesa
329;05/09/2024;Plano de saúde;250;7;Débito automático;;Saúde;Plano de saúde;Despesa
330;05/09/2024;Conta de luz;156;1;Débito automático;;Moradia;Contas;Despesa
331;08/09/2024;Conta de água;60;1;Débito automático;;Moradia;Contas;Despesa
332;10/09/2024;Freelance projeto web;6300;10;Transferência;;Renda Extra;Freelance;Renda
333;10/09/2024;Salário mensal;6000;5;Transferência;;Salário;Salário Mensal;Renda
334;12/09/2024;Gasto com gasolina;222;6;Cartão de crédito;Bradesco;Transporte;Combustível;Despesa
335;14/09/2024;Jantar especial;220;8;Cartão de crédito;Itaú;Lazer;Eventos;Despesa
336;15/09/2024;Ração para cachorro;200;11;Cartão de crédito;Nubank;Pets;Ração;Despesa
337;15/09/2024;Internet residencial;1300;12;Cartão de crédito;Banco do Brasil;Internet;Plano de celular;Despesa
338;18/09/2024;Cosméticos;1300;13;Cartão de crédito;Itaú;Beleza;Cabeleireiro;Despesa
339;20/09/2024;Curso de Inglês;350;9;Débito automático;;Educação;Cursos Online;Despesa
340;20/09/2024;Doação para ONG;800;14;Pix;;Doações;ONG;Despesa
341;25/09/2024;Compra de ações;1300;15;Transferência;;Investimentos;Ações;Renda
342;30/09/2024;Assinatura de Streaming (Combo);85;8;Débito automático;;Lazer;Streaming;Despesa
343;01/10/2024;Aluguel apartamento;1800;1;Pix;;Moradia;Aluguel;Despesa
344;03/10/2024;Supermercado mensal;600;3;Cartão de crédito;Bradesco;Alimentação;Supermercado;Despesa
345;05/10/2024;Farmácia;1300;7;Cartão de crédito;Itaú;Saúde;Plano de saúde;Despesa
346;05/10/2024;Conta de luz;171;1;Débito automático;;Moradia;Contas;Despesa
347;08/10/2024;Conta de água;67;1;Débito automático;;Moradia;Contas;Despesa
348;10/10/2024;Salário mensal;6000;5;Transferência;;Salário;Salário Mensal;Renda
349;10/10/2024;Venda de móveis usados;4320;10;Dinheiro;;Renda Extra;Freelance;Renda
350;12/10/2024;Gasto com gasolina;226;6;Cartão de crédito;Bradesco;Transporte;Combustível;Despesa
351;12/10/2024;Consulta veterinária;2700;11;Pix;;Pets;Ração;Despesa
352;15/10/2024;Ração para cachorro;200;11;Cartão de crédito;Nubank;Pets;Ração;Despesa
353;15/10/2024;Plano de celular;850;12;Débito automático;;Internet;Plano de celular;Despesa
354;15/10/2024;Plano de saúde;250;7;Débito automático;;Saúde;Plano de saúde;Despesa
355;20/10/2024;Ajuda para mãe;2600;14;Transferência;;Doações;Ajuda para mãe;Despesa
356;20/10/2024;Curso de Inglês;350;9;Débito automático;;Educação;Cursos Online;Despesa
357;25/10/2024;Dividendos recebidos;1080;15;Transferência;;Investimentos;Ações;Renda
358;31/10/2024;Assinatura de Streaming (Combo);85;8;Débito automático;;Lazer;Streaming;Despesa
359;01/11/2024;Aluguel apartamento;1800;1;Pix;;Moradia;Aluguel;Despesa
360;02/11/2024;Viagem curta (praia);1200;8;Pix;;Lazer;Viagens;Despesa
361;03/11/2024;Supermercado mensal;645;3;Cartão de crédito;Nubank;Alimentação;Supermercado;Despesa
362;05/11/2024;Plano de saúde;250;7;Débito automático;;Saúde;Plano de saúde;Despesa
363;05/11/2024;Conta de luz;189;1;Débito automático;;Moradia;Contas;Despesa
364;08/11/2024;Conta de água;68;1;Débito automático;;Moradia;Contas;Despesa
365;10/11/2024;Venda de roupas usadas;1500;10;Dinheiro;;Renda Extra;Freelance;Renda
366;10/11/2024;Salário mensal;6000;5;Transferência;;Salário;Salário Mensal;Renda
367;12/11/2024;Gasto com gasolina;234;6;Cartão de crédito;Bradesco;Transporte;Combustível;Despesa
368;15/11/2024;Internet residencial;1300;12;Cartão de crédito;Banco do Brasil;Internet;Plano de celular;Despesa
369;15/11/2024;Ração para cachorro;200;11;Cartão de crédito;Nubank;Pets;Ração;Despesa
370;18/11/2024;Corte de cabelo;60;13;Dinheiro;;Beleza;Cabeleireiro;Despesa
371;20/11/2024;Curso de Inglês;350;9;Débito automático;;Educação;Cursos Online;Despesa
372;20/11/2024;Doação para ONG;700;14;Pix;;Doações;ONG;Despesa
373;30/11/2024;Assinatura de Streaming (Combo);85;8;Débito automático;;Lazer;Streaming;Despesa
374;01/12/2024;Aluguel apartamento;1800;1;Pix;;Moradia;Aluguel;Despesa
375;03/12/2024;Supermercado mensal;490;3;Cartão de crédito;Bradesco;Alimentação;Supermercado;Despesa
376;05/12/2024;Conta de luz;189;1;Débito automático;;Moradia;Contas;Despesa
377;05/12/2024;Farmácia;1350;7;Cartão de crédito;Itaú;Saúde;Plano de saúde;Despesa
378;06/12/2024;Viagem de fim de semana;750;8;Cartão de crédito;Bradesco;Lazer;Viagens;Despesa
379;08/12/2024;Conta de água;87;1;Débito automático;;Moradia;Contas;Despesa
380;09/12/2024;Presente para irmão;200;8;Pix;;Lazer;Presentes;Despesa
381;10/12/2024;Salário mensal;6000;5;Transferência;;Salário;Salário Mensal;Renda
382;10/12/2024;Venda de móveis usados;4500;10;Dinheiro;;Renda Extra;Freelance;Renda
383;12/12/2024;Gasto com gasolina;202;6;Cartão de crédito;Bradesco;Transporte;Combustível;Despesa
384;12/12/2024;Consulta veterinária;2800;11;Pix;;Pets;Ração;Despesa
385;15/12/2024;Plano de celular;850;12;Débito automático;;Internet;Plano de celular;Despesa
386;15/12/2024;Ração para cachorro;200;11;Cartão de crédito;Nubank;Pets;Ração;Despesa
387;15/12/2024;Plano de saúde;250;7;Débito automático;;Saúde;Plano de saúde;Despesa
388;20/12/2024;Décimo Terceiro Salário;6000;5;Transferência;;Salário;Salário Mensal;Receita
389;20/12/2024;Ajuda para mãe;2200;14;Transferência;;Doações;Ajuda para mãe;Despesa
390;20/12/2024;Curso de Inglês;350;9;Débito automático;;Educação;Cursos Online;Despesa
391;21/12/2024;Presente para mãe;330;8;Pix;;Lazer;Presentes;Despesa
392;25/12/2024;Dividendos recebidos;1110;15;Transferência;;Investimentos;Ações;Renda
393;28/12/2024;Viagem curta (praia);800;8;Pix;;Lazer;Viagens;Despesa
394;30/12/2024;Assinatura de Streaming (Combo);85;8;Débito automático;;Lazer;Streaming;Despesa
